Metadata_pert_name	Metadata_gene_name	Metadata_cell_line	Metadata_agg_method	similarity_metric
BRCA1-2	BRCA1	HCC44	weighted	-0.01449385069418838
BRD4-1	BRD4	HCC44	weighted	0.8120258907926308
BRD4-2	BRD4	HCC44	weighted	0.9040514178906583
CCND1-1	CCND1	HCC44	weighted	0.5481332969428151
CCND1-2	CCND1	HCC44	weighted	0.4650390286704511
CCNE1-1	CCNE1	HCC44	weighted	0.9306162708157047
CCNE1-2	CCNE1	HCC44	weighted	0.8559196691302985
CDK2-1	CDK2	HCC44	weighted	0.8745025435739743
CDK2-2	CDK2	HCC44	weighted	0.8817849745219244
CDK4-1	CDK4	HCC44	weighted	0.4593316938226515
CDK4-2	CDK4	HCC44	weighted	0.02812532374724651
CDK4-3	CDK4	HCC44	weighted	0.4650448428290351
CHEK2-1	CHEK2	HCC44	weighted	0.5625233644608485
CHEK2-2	CHEK2	HCC44	weighted	0.22392023875751643
COX5B-1	COX5B	HCC44	weighted	0.7889597920309044
COX5B-2	COX5B	HCC44	weighted	0.5933085443546094
CSNK1A1-1	CSNK1A1	HCC44	weighted	0.7913656942613151
CSNK1A1-2	CSNK1A1	HCC44	weighted	0.5354852203665443
CTNNB1-1	CTNNB1	HCC44	weighted	0.4631779907391938
CTNNB1-2	CTNNB1	HCC44	weighted	0.8719862612767146
Chr2-1	Chr2	HCC44	weighted	0.06419700106150025
Chr2-2	Chr2	HCC44	weighted	0.24288643336257415
Chr2-3	Chr2	HCC44	weighted	0.4767726173550735
Chr2-4	Chr2	HCC44	weighted	0.5131911892955383
Chr2-5	Chr2	HCC44	weighted	0.0439839424656538
Chr2-6	Chr2	HCC44	weighted	0.023527550851553197
DOT1L-1	DOT1L	HCC44	weighted	0.8978226080984383
DOT1L-2	DOT1L	HCC44	weighted	0.9080250208930732
EGFR-1	EGFR	HCC44	weighted	0.7043755714279446
EGFR-2	EGFR	HCC44	weighted	-0.05044136476880451
EGLN1-8	EGLN1	HCC44	weighted	0.6933900226587351
EGLN1-9	EGLN1	HCC44	weighted	0.8429521896122093
ERBB2-1	ERBB2	HCC44	weighted	0.5854887598154569
ERBB2-2	ERBB2	HCC44	weighted	-0.07042159897466269
ERBB3-1	ERBB3	HCC44	weighted	-0.03625211320487871
ERBB3-2	ERBB3	HCC44	weighted	0.7048727615059347
EZH2-1	EZH2	HCC44	weighted	0.8383236937050023
EZH2-2	EZH2	HCC44	weighted	0.7508160332300322
GLS-1	GLS	HCC44	weighted	0.8378035431320593
GLS-2	GLS	HCC44	weighted	0.07863805030897177
GPX4-1	GPX4	HCC44	weighted	0.7980216976555561
GPX4-2	GPX4	HCC44	weighted	0.7830670263893266
HIF1a-1	HIF1a	HCC44	weighted	0.5962357041272398
HIF1a-2	HIF1a	HCC44	weighted	0.5748563096389318
ITGAV-1	ITGAV	HCC44	weighted	0.9447508594526052
ITGAV-2	ITGAV	HCC44	weighted	0.9473443377523083
JAK3-1	JAK3	HCC44	weighted	0.8238770168810009
JAK3-2	JAK3	HCC44	weighted	0.40218557598229243
KIF11-1	KIF11	HCC44	weighted	0.8640080256404786
KIF11-2	KIF11	HCC44	weighted	0.8492911619951135
KRAS-1	KRAS	HCC44	weighted	0.701007977774852
KRAS-2A	KRAS	HCC44	weighted	0.7690095300845118
KRAS-2B	KRAS	HCC44	weighted	0.12813007916602712
LacZ-2	LacZ	HCC44	weighted	0.6009158353885788
LacZ-3	LacZ	HCC44	weighted	0.7913474053531369
Luc-1	Luc	HCC44	weighted	0.870910774622422
Luc-2	Luc	HCC44	weighted	0.4484358561145153
MAPK1-1	MAPK1	HCC44	weighted	0.4603531505357008
MAPK1-2	MAPK1	HCC44	weighted	0.5897411135603678
MCL1-2	MCL1	HCC44	weighted	-0.12712889758185433
MCL1-5	MCL1	HCC44	weighted	0.39744353173879976
MTOR-1	MTOR	HCC44	weighted	0.8837211681786499
MTOR-2	MTOR	HCC44	weighted	0.9342203090653479
MYC-1	MYC	HCC44	weighted	0.911298392759589
MYC-2	MYC	HCC44	weighted	0.9099800640200812
ORC4-1	ORC4	HCC44	weighted	0.08420768854273546
ORC4-2	ORC4	HCC44	weighted	0.539266247510759
PIK3CA-1	PIK3CA	HCC44	weighted	0.5076649615976694
PIK3CA-2	PIK3CA	HCC44	weighted	0.9332605261941781
POLR2D-1	POLR2D	HCC44	weighted	0.9150619415781719
POLR2D-2	POLR2D	HCC44	weighted	0.88519678198716
PPIB-1	PPIB	HCC44	weighted	-0.0974352412854444
PPIB-2	PPIB	HCC44	weighted	0.2478650173267443
PRDX1-1	PRDX1	HCC44	weighted	0.8329080925784329
PRDX1-2	PRDX1	HCC44	weighted	0.3659258113385084
PSMA1-1	PSMA1	HCC44	weighted	0.8614529961703645
PSMA1-2	PSMA1	HCC44	weighted	0.8707666919479149
PTK2-1	PTK2	HCC44	weighted	0.6735556644349961
PTK2-2	PTK2	HCC44	weighted	0.823365552926702
RAC1-1	RAC1	HCC44	weighted	0.7947110454193215
RAC1-2	RAC1	HCC44	weighted	0.8202503471758648
RAF1-1	RAF1	HCC44	weighted	0.63734220896074
RAF1-2	RAF1	HCC44	weighted	0.8205607116401472
RHOA-1	RHOA	HCC44	weighted	0.9305268841757456
RHOA-2	RHOA	HCC44	weighted	0.9235789477847847
SDHB-1	SDHB	HCC44	weighted	0.5641832065899723
SDHB-2	SDHB	HCC44	weighted	0.7677158661964226
SLC2A1-1	SLC2A1	HCC44	weighted	0.597426547273454
SLC2A2-2	SLC2A2	HCC44	weighted	0.817360432953736
SMARCB1-1	SMARCB1	HCC44	weighted	0.7217400698822315
SMARCB1-2	SMARCB1	HCC44	weighted	0.5100617955427603
STAT3-1	STAT3	HCC44	weighted	0.5689258769285576
STAT3-2	STAT3	HCC44	weighted	0.49425591982809025
SUZ12-1	SUZ12	HCC44	weighted	0.15956783058187465
SUZ12-2	SUZ12	HCC44	weighted	0.8149561366932564
TXN-1	TXN	HCC44	weighted	-0.15576863020948045
TXN-2	TXN	HCC44	weighted	-0.3323272623929012
XBP-1	XBP	HCC44	weighted	0.006255191098491912
XBP-2	XBP	HCC44	weighted	0.8193174463852132
YAP1-1	YAP1	HCC44	weighted	0.12179847982805234
YAP1-2	YAP1	HCC44	weighted	-0.014682695200236146
AKT1-1	AKT1	A549	weighted	-0.07078088005077685
AKT1-2	AKT1	A549	weighted	0.20287258450516932
ARID1B-1	ARID1B	A549	weighted	0.12711913840603523
ARID1B-2	ARID1B	A549	weighted	0.4095703801886843
ATF4-1	ATF4	A549	weighted	0.8503540501028325
ATF4-2	ATF4	A549	weighted	0.9080366156348026
ATP50-1	ATP50	A549	weighted	-0.5111719045668488
ATP50-2	ATP50	A549	weighted	0.7686667160672287
AURKB-2	AURKB	A549	weighted	0.34046419234063524
BCL2-1	BCL2	A549	weighted	0.12862668214651418
BCL2-2	BCL2	A549	weighted	0.6812185162296648
BCL2L2-1	BCL2L2	A549	weighted	0.44803158953545347
BCL2L2-2	BCL2L2	A549	weighted	0.439089360892815
BCL2L2-4	BCL2L2	A549	weighted	-0.5067927378105643
BRAF-2	BRAF	A549	weighted	0.3594332382791154
BRAF1-1	BRAF1	A549	weighted	0.3983017654705933
BRCA1-1	BRCA1	A549	weighted	-0.031020406786812716
BRCA1-2	BRCA1	A549	weighted	0.23917004547411946
BRD4-1	BRD4	A549	weighted	0.21194658177856798
BRD4-2	BRD4	A549	weighted	0.18415137068890514
CCND1-1	CCND1	A549	weighted	0.6090741990462456
CCND1-2	CCND1	A549	weighted	0.931116827443363
CCNE1-1	CCNE1	A549	weighted	0.8523643695519023
CCNE1-2	CCNE1	A549	weighted	0.8093592874793747
CDK2-1	CDK2	A549	weighted	0.6482652662700479
CDK2-2	CDK2	A549	weighted	0.8696172849846041
CDK4-1	CDK4	A549	weighted	0.8155042677079861
CDK4-2	CDK4	A549	weighted	0.5691638691664009
CDK4-3	CDK4	A549	weighted	0.8611399258437479
CHEK2-1	CHEK2	A549	weighted	-0.032397154709830435
CHEK2-2	CHEK2	A549	weighted	-0.49792639721709603
COX5B-1	COX5B	A549	weighted	0.029405022112229867
COX5B-2	COX5B	A549	weighted	0.11741839485741032
CSNK1A1-1	CSNK1A1	A549	weighted	0.7131561184922753
CSNK1A1-2	CSNK1A1	A549	weighted	0.38707362744739415
CTNNB1-1	CTNNB1	A549	weighted	0.3171425649422348
CTNNB1-2	CTNNB1	A549	weighted	0.6038771739950834
Chr2-1	Chr2	A549	weighted	0.08407164353528737
Chr2-2	Chr2	A549	weighted	0.20852535868614538
Chr2-3	Chr2	A549	weighted	0.3952425587470906
Chr2-4	Chr2	A549	weighted	0.4626311651885775
Chr2-5	Chr2	A549	weighted	0.2775046879704398
Chr2-6	Chr2	A549	weighted	0.3483068834102176
DOT1L-1	DOT1L	A549	weighted	0.13621587539566382
DOT1L-2	DOT1L	A549	weighted	0.6685687169223985
EGFR-1	EGFR	A549	weighted	0.8254094096002009
EGFR-2	EGFR	A549	weighted	0.17981660285484896
EGLN1-8	EGLN1	A549	weighted	0.44031937861455883
EGLN1-9	EGLN1	A549	weighted	0.10639983151402335
ERBB2-1	ERBB2	A549	weighted	0.767589509168474
ERBB2-2	ERBB2	A549	weighted	0.6574463655936377
ERBB3-1	ERBB3	A549	weighted	0.2213858483389453
ERBB3-2	ERBB3	A549	weighted	-0.10598182290552742
EZH2-1	EZH2	A549	weighted	0.6889884211655612
EZH2-2	EZH2	A549	weighted	0.17669092373141324
GLS-1	GLS	A549	weighted	0.14182724251088344
GLS-2	GLS	A549	weighted	0.8366129860291068
GPX4-1	GPX4	A549	weighted	0.09187272837153096
GPX4-2	GPX4	A549	weighted	0.2683217735092164
HIF1a-1	HIF1a	A549	weighted	-0.3397694419724615
HIF1a-2	HIF1a	A549	weighted	0.09530170444919807
ITGAV-1	ITGAV	A549	weighted	0.8745013203291463
ITGAV-2	ITGAV	A549	weighted	0.8736781681035974
JAK3-1	JAK3	A549	weighted	0.6984026200590145
JAK3-2	JAK3	A549	weighted	0.14165974836803205
KIF11-1	KIF11	A549	weighted	0.7995196721867278
KIF11-2	KIF11	A549	weighted	0.8495640365494298
KRAS-1	KRAS	A549	weighted	0.6092312449133446
KRAS-2A	KRAS	A549	weighted	0.4623518413163506
KRAS-2B	KRAS	A549	weighted	0.3859338739858001
LacZ-2	LacZ	A549	weighted	0.7517221208347644
LacZ-3	LacZ	A549	weighted	0.5839609589222626
Luc-1	Luc	A549	weighted	0.814186282467836
Luc-2	Luc	A549	weighted	0.6935869454230914
MAPK1-1	MAPK1	A549	weighted	0.37601640641397216
MAPK1-2	MAPK1	A549	weighted	0.7261648718127784
MCL1-2	MCL1	A549	weighted	-0.09913517606428186
MCL1-5	MCL1	A549	weighted	0.40720221708201765
MTOR-1	MTOR	A549	weighted	0.6833643179131732
MTOR-2	MTOR	A549	weighted	0.6192718159881864
MYC-1	MYC	A549	weighted	0.8459074094682505
MYC-2	MYC	A549	weighted	0.8055548764875489
ORC4-1	ORC4	A549	weighted	0.13097871456913934
ORC4-2	ORC4	A549	weighted	0.3572456874200667
PIK3CA-1	PIK3CA	A549	weighted	0.396519322516316
PIK3CA-2	PIK3CA	A549	weighted	0.6504219336420817
POLR2D-1	POLR2D	A549	weighted	0.8255763190904594
POLR2D-2	POLR2D	A549	weighted	0.8150659670904415
PPIB-1	PPIB	A549	weighted	0.8300399538247052
PPIB-2	PPIB	A549	weighted	0.7037503474680555
PRDX1-1	PRDX1	A549	weighted	0.17743474882948762
PRDX1-2	PRDX1	A549	weighted	-0.1470876222431398
PSMA1-1	PSMA1	A549	weighted	0.788518520889952
PSMA1-2	PSMA1	A549	weighted	0.8432127472534872
PTK2-1	PTK2	A549	weighted	0.6755873559765971
PTK2-2	PTK2	A549	weighted	0.7259133331005271
RAC1-1	RAC1	A549	weighted	0.6246354176043228
RAC1-2	RAC1	A549	weighted	-0.2195301617215749
RAF1-1	RAF1	A549	weighted	0.2977427394954646
RAF1-2	RAF1	A549	weighted	0.042803959540381506
RHOA-1	RHOA	A549	weighted	0.6555083883830621
RHOA-2	RHOA	A549	weighted	0.39094993602516515
SDHB-1	SDHB	A549	weighted	0.34008609714371046
SDHB-2	SDHB	A549	weighted	-0.2596324011371018
SLC2A1-1	SLC2A1	A549	weighted	0.49119716066101254
SLC2A2-2	SLC2A2	A549	weighted	0.19099048651938016
SMARCB1-1	SMARCB1	A549	weighted	-0.10327331323191047
SMARCB1-2	SMARCB1	A549	weighted	-0.73081591639277
STAT3-1	STAT3	A549	weighted	0.6421807995095522
STAT3-2	STAT3	A549	weighted	0.05465507932934379
SUZ12-1	SUZ12	A549	weighted	0.8074828762591055
SUZ12-2	SUZ12	A549	weighted	0.8687353780674326
TXN-1	TXN	A549	weighted	-0.24355538744493507
TXN-2	TXN	A549	weighted	-0.13554416750181014
XBP-1	XBP	A549	weighted	0.5757842850491877
XBP-2	XBP	A549	weighted	0.6581079044727365
YAP1-1	YAP1	A549	weighted	0.3313665486032852
YAP1-2	YAP1	A549	weighted	0.6841567323456489
