perturbation	group	grit	cell_line	barcode_control	cor_method	grit_replicate_summary_method
MYC-2	MYC	2.551369382296108	HCC44	perturbation_control	pearson	median
ORC4-1	ORC4	0.37575111284184864	HCC44	perturbation_control	pearson	median
ORC4-2	ORC4	0.3954550257617113	HCC44	perturbation_control	pearson	median
PIK3CA-1	PIK3CA	0.94300860031999	HCC44	perturbation_control	pearson	median
PIK3CA-2	PIK3CA	0.9464645711399332	HCC44	perturbation_control	pearson	median
POLR2D-1	POLR2D	2.622277231638166	HCC44	perturbation_control	pearson	median
POLR2D-2	POLR2D	2.4982992133126753	HCC44	perturbation_control	pearson	median
PPIB-1	PPIB	0.03947721864119427	HCC44	perturbation_control	pearson	median
PPIB-2	PPIB	0.0444244558593053	HCC44	perturbation_control	pearson	median
PRDX1-1	PRDX1	0.025627988703247825	HCC44	perturbation_control	pearson	median
PRDX1-2	PRDX1	0.02740622615390075	HCC44	perturbation_control	pearson	median
PSMA1-1	PSMA1	2.2938642104788918	HCC44	perturbation_control	pearson	median
PSMA1-2	PSMA1	2.366845943832932	HCC44	perturbation_control	pearson	median
PTK2-1	PTK2	2.7784718246005156	HCC44	perturbation_control	pearson	median
PTK2-2	PTK2	2.8719596081582015	HCC44	perturbation_control	pearson	median
RAC1-1	RAC1	1.102225751323754	HCC44	perturbation_control	pearson	median
RAC1-2	RAC1	0.9429448072728239	HCC44	perturbation_control	pearson	median
RAF1-1	RAF1	0.9024092794046888	HCC44	perturbation_control	pearson	median
RAF1-2	RAF1	1.050084403660584	HCC44	perturbation_control	pearson	median
RHOA-1	RHOA	2.4567705790414403	HCC44	perturbation_control	pearson	median
RHOA-2	RHOA	2.586257329993118	HCC44	perturbation_control	pearson	median
SDHB-1	SDHB	1.7312805855860227	HCC44	perturbation_control	pearson	median
SDHB-2	SDHB	1.3254224097761016	HCC44	perturbation_control	pearson	median
SLC2A1-1	SLC2A1		HCC44	perturbation_control	pearson	median
SLC2A2-2	SLC2A2		HCC44	perturbation_control	pearson	median
SMARCB1-1	SMARCB1	0.8442073626541453	HCC44	perturbation_control	pearson	median
SMARCB1-2	SMARCB1	0.9248557215951847	HCC44	perturbation_control	pearson	median
STAT3-1	STAT3	0.7629538193282208	HCC44	perturbation_control	pearson	median
STAT3-2	STAT3	0.6632254575682481	HCC44	perturbation_control	pearson	median
SUZ12-1	SUZ12	1.6430767717111419	HCC44	perturbation_control	pearson	median
SUZ12-2	SUZ12	1.6694374730332446	HCC44	perturbation_control	pearson	median
TXN-1	TXN	0.8220053043758693	HCC44	perturbation_control	pearson	median
TXN-2	TXN	0.7022544001208018	HCC44	perturbation_control	pearson	median
XBP-1	XBP	1.3490851072520191	HCC44	perturbation_control	pearson	median
XBP-2	XBP	1.505299893090249	HCC44	perturbation_control	pearson	median
YAP1-1	YAP1	0.5491562653313813	HCC44	perturbation_control	pearson	median
YAP1-2	YAP1	0.6242214209181722	HCC44	perturbation_control	pearson	median
AKT1-1	AKT1	0.8496769926583857	HCC44	perturbation_control	spearman	mean
AKT1-2	AKT1	0.8742106003780373	HCC44	perturbation_control	spearman	mean
ARID1B-1	ARID1B	0.6874288221017869	HCC44	perturbation_control	spearman	mean
ARID1B-2	ARID1B	0.6225057079304451	HCC44	perturbation_control	spearman	mean
ATF4-1	ATF4	0.5791687818893875	HCC44	perturbation_control	spearman	mean
ATF4-2	ATF4	0.7211958192488802	HCC44	perturbation_control	spearman	mean
ATP50-1	ATP50	1.4000107555716539	HCC44	perturbation_control	spearman	mean
ATP50-2	ATP50	1.1928892302304697	HCC44	perturbation_control	spearman	mean
AURKB-2	AURKB		HCC44	perturbation_control	spearman	mean
BCL2-1	BCL2	0.8170945320575953	HCC44	perturbation_control	spearman	mean
BCL2-2	BCL2	0.7750496138885523	HCC44	perturbation_control	spearman	mean
BCL2L2-1	BCL2L2	0.28943976694597473	HCC44	perturbation_control	spearman	mean
BCL2L2-2	BCL2L2	0.15312116684429808	HCC44	perturbation_control	spearman	mean
BCL2L2-4	BCL2L2	0.42177160816407006	HCC44	perturbation_control	spearman	mean
BRAF-2	BRAF		HCC44	perturbation_control	spearman	mean
BRAF1-1	BRAF1		HCC44	perturbation_control	spearman	mean
BRCA1-1	BRCA1	0.7550434133553697	HCC44	perturbation_control	spearman	mean
BRCA1-2	BRCA1	0.784259220731847	HCC44	perturbation_control	spearman	mean
BRD4-1	BRD4	2.3387206891200654	HCC44	perturbation_control	spearman	mean
BRD4-2	BRD4	1.7360958252057155	HCC44	perturbation_control	spearman	mean
CCND1-1	CCND1	0.7462838370827267	HCC44	perturbation_control	spearman	mean
CCND1-2	CCND1	0.644522452670081	HCC44	perturbation_control	spearman	mean
CCNE1-1	CCNE1	1.9501189295489292	HCC44	perturbation_control	spearman	mean
CCNE1-2	CCNE1	1.772706215918201	HCC44	perturbation_control	spearman	mean
CDK2-1	CDK2	2.334452545029542	HCC44	perturbation_control	spearman	mean
CDK2-2	CDK2	2.1001605664554512	HCC44	perturbation_control	spearman	mean
CDK4-1	CDK4	1.1196765155108865	HCC44	perturbation_control	spearman	mean
CDK4-2	CDK4	1.021273166181784	HCC44	perturbation_control	spearman	mean
CDK4-3	CDK4	0.8174821979340255	HCC44	perturbation_control	spearman	mean
CHEK2-1	CHEK2	0.25805815937966153	HCC44	perturbation_control	spearman	mean
CHEK2-2	CHEK2	0.34176200723417643	HCC44	perturbation_control	spearman	mean
COX5B-1	COX5B	0.7093413956927046	HCC44	perturbation_control	spearman	mean
COX5B-2	COX5B	0.716757838794303	HCC44	perturbation_control	spearman	mean
CSNK1A1-1	CSNK1A1	1.833403694848039	HCC44	perturbation_control	spearman	mean
CSNK1A1-2	CSNK1A1	1.502888356807305	HCC44	perturbation_control	spearman	mean
CTNNB1-1	CTNNB1	-0.019759597033385982	HCC44	perturbation_control	spearman	mean
CTNNB1-2	CTNNB1	-0.03850029748630493	HCC44	perturbation_control	spearman	mean
Chr2-1	Chr2	0.5778350170431952	HCC44	perturbation_control	spearman	mean
Chr2-2	Chr2	0.373956810712137	HCC44	perturbation_control	spearman	mean
Chr2-3	Chr2	0.7275527548588389	HCC44	perturbation_control	spearman	mean
Chr2-4	Chr2	0.1285819194817872	HCC44	perturbation_control	spearman	mean
Chr2-5	Chr2	0.5988340697005098	HCC44	perturbation_control	spearman	mean
Chr2-6	Chr2	0.74301147850224	HCC44	perturbation_control	spearman	mean
DOT1L-1	DOT1L	0.9006429256664769	HCC44	perturbation_control	spearman	mean
DOT1L-2	DOT1L	0.915304685619077	HCC44	perturbation_control	spearman	mean
EGFR-1	EGFR	0.29857804766557416	HCC44	perturbation_control	spearman	mean
EGFR-2	EGFR	0.3705267943640061	HCC44	perturbation_control	spearman	mean
EGLN1-8	EGLN1	1.5294844812135515	HCC44	perturbation_control	spearman	mean
EGLN1-9	EGLN1	1.4221189815068422	HCC44	perturbation_control	spearman	mean
EMPTY	EMPTY		HCC44	perturbation_control	spearman	mean
ERBB2-1	ERBB2	0.20723724164011872	HCC44	perturbation_control	spearman	mean
ERBB2-2	ERBB2	0.19365720240571477	HCC44	perturbation_control	spearman	mean
ERBB3-1	ERBB3	0.6726087606274634	HCC44	perturbation_control	spearman	mean
ERBB3-2	ERBB3	0.5915321786806729	HCC44	perturbation_control	spearman	mean
EZH2-1	EZH2	0.878882535319755	HCC44	perturbation_control	spearman	mean
EZH2-2	EZH2	0.9913474456721514	HCC44	perturbation_control	spearman	mean
GLS-1	GLS	1.0270253112594279	HCC44	perturbation_control	spearman	mean
GLS-2	GLS	0.8606108068315463	HCC44	perturbation_control	spearman	mean
GPX4-1	GPX4	0.996597513545652	HCC44	perturbation_control	spearman	mean
GPX4-2	GPX4	0.8520640935067889	HCC44	perturbation_control	spearman	mean
HIF1a-1	HIF1a	0.5663656778604824	HCC44	perturbation_control	spearman	mean
HIF1a-2	HIF1a	0.5451722815179092	HCC44	perturbation_control	spearman	mean
ITGAV-1	ITGAV	3.3592541580049593	HCC44	perturbation_control	spearman	mean
ITGAV-2	ITGAV	3.524040165157988	HCC44	perturbation_control	spearman	mean
JAK3-1	JAK3	0.2910400177318346	HCC44	perturbation_control	spearman	mean
JAK3-2	JAK3	0.2622706045254397	HCC44	perturbation_control	spearman	mean
KIF11-1	KIF11	2.2906518463304213	HCC44	perturbation_control	spearman	mean
KIF11-2	KIF11	2.2042715387744343	HCC44	perturbation_control	spearman	mean
KRAS-1	KRAS	1.502160756369277	HCC44	perturbation_control	spearman	mean
KRAS-2A	KRAS	1.3941686721954971	HCC44	perturbation_control	spearman	mean
KRAS-2B	KRAS	0.8537868595478625	HCC44	perturbation_control	spearman	mean
LacZ-2	LacZ	0.2753865411164285	HCC44	perturbation_control	spearman	mean
LacZ-3	LacZ	0.2530226633402925	HCC44	perturbation_control	spearman	mean
Luc-1	Luc	0.5080999374542954	HCC44	perturbation_control	spearman	mean
Luc-2	Luc	0.5044406834218219	HCC44	perturbation_control	spearman	mean
MAPK1-1	MAPK1	0.8462568137728645	HCC44	perturbation_control	spearman	mean
MAPK1-2	MAPK1	0.7849163053482925	HCC44	perturbation_control	spearman	mean
MCL1-2	MCL1	0.43937731754030296	HCC44	perturbation_control	spearman	mean
MCL1-5	MCL1	0.48864652634161104	HCC44	perturbation_control	spearman	mean
MTOR-1	MTOR	1.6884036931857285	HCC44	perturbation_control	spearman	mean
MTOR-2	MTOR	1.3982217046134682	HCC44	perturbation_control	spearman	mean
MYC-1	MYC	2.4108855168756715	HCC44	perturbation_control	spearman	mean
MYC-2	MYC	2.3925226012924266	HCC44	perturbation_control	spearman	mean
ORC4-1	ORC4	0.3274957672184186	HCC44	perturbation_control	spearman	mean
ORC4-2	ORC4	0.3434709904240105	HCC44	perturbation_control	spearman	mean
PIK3CA-1	PIK3CA	0.7346058900533101	HCC44	perturbation_control	spearman	mean
PIK3CA-2	PIK3CA	0.7431107474810593	HCC44	perturbation_control	spearman	mean
POLR2D-1	POLR2D	2.494729678463248	HCC44	perturbation_control	spearman	mean
POLR2D-2	POLR2D	2.372324880895167	HCC44	perturbation_control	spearman	mean
PPIB-1	PPIB	0.1077912474104105	HCC44	perturbation_control	spearman	mean
PPIB-2	PPIB	0.11020162744301304	HCC44	perturbation_control	spearman	mean
PRDX1-1	PRDX1	0.2808650429407348	HCC44	perturbation_control	spearman	mean
PRDX1-2	PRDX1	0.2656647439584978	HCC44	perturbation_control	spearman	mean
PSMA1-1	PSMA1	2.13564892126124	HCC44	perturbation_control	spearman	mean
PSMA1-2	PSMA1	2.2004105125285296	HCC44	perturbation_control	spearman	mean
PTK2-1	PTK2	2.344110724299499	HCC44	perturbation_control	spearman	mean
PTK2-2	PTK2	2.480797304684543	HCC44	perturbation_control	spearman	mean
RAC1-1	RAC1	0.9346116626935945	HCC44	perturbation_control	spearman	mean
RAC1-2	RAC1	0.7924558809993488	HCC44	perturbation_control	spearman	mean
RAF1-1	RAF1	0.9315904401045272	HCC44	perturbation_control	spearman	mean
RAF1-2	RAF1	1.067052446456817	HCC44	perturbation_control	spearman	mean
RHOA-1	RHOA	2.256305348618028	HCC44	perturbation_control	spearman	mean
RHOA-2	RHOA	2.3865564140870412	HCC44	perturbation_control	spearman	mean
SDHB-1	SDHB	1.6500831946318457	HCC44	perturbation_control	spearman	mean
SDHB-2	SDHB	1.2719168843892592	HCC44	perturbation_control	spearman	mean
SLC2A1-1	SLC2A1		HCC44	perturbation_control	spearman	mean
SLC2A2-2	SLC2A2		HCC44	perturbation_control	spearman	mean
SMARCB1-1	SMARCB1	0.5776524559836926	HCC44	perturbation_control	spearman	mean
SMARCB1-2	SMARCB1	0.6401535211350027	HCC44	perturbation_control	spearman	mean
STAT3-1	STAT3	0.7173852276776913	HCC44	perturbation_control	spearman	mean
STAT3-2	STAT3	0.6305881993978184	HCC44	perturbation_control	spearman	mean
SUZ12-1	SUZ12	1.6103947435895265	HCC44	perturbation_control	spearman	mean
SUZ12-2	SUZ12	1.6185987481662405	HCC44	perturbation_control	spearman	mean
TXN-1	TXN	0.8054371048004563	HCC44	perturbation_control	spearman	mean
TXN-2	TXN	0.6886043972480151	HCC44	perturbation_control	spearman	mean
XBP-1	XBP	1.0928845368132	HCC44	perturbation_control	spearman	mean
XBP-2	XBP	1.194451849876672	HCC44	perturbation_control	spearman	mean
YAP1-1	YAP1	0.5859721248562267	HCC44	perturbation_control	spearman	mean
YAP1-2	YAP1	0.6689584031795073	HCC44	perturbation_control	spearman	mean
AKT1-1	AKT1	0.9691417617739551	HCC44	perturbation_control	spearman	median
AKT1-2	AKT1	0.9955196349070505	HCC44	perturbation_control	spearman	median
ARID1B-1	ARID1B	0.9590250638900089	HCC44	perturbation_control	spearman	median
ARID1B-2	ARID1B	0.8670421353847744	HCC44	perturbation_control	spearman	median
ATF4-1	ATF4	0.693913277092256	HCC44	perturbation_control	spearman	median
ATF4-2	ATF4	0.8659160111409376	HCC44	perturbation_control	spearman	median
ATP50-1	ATP50	1.7093781150278082	HCC44	perturbation_control	spearman	median
ATP50-2	ATP50	1.4550419360693017	HCC44	perturbation_control	spearman	median
AURKB-2	AURKB		HCC44	perturbation_control	spearman	median
BCL2-1	BCL2	0.775367901856359	HCC44	perturbation_control	spearman	median
BCL2-2	BCL2	0.7350466437123223	HCC44	perturbation_control	spearman	median
BCL2L2-1	BCL2L2	0.47616670260062466	HCC44	perturbation_control	spearman	median
BCL2L2-2	BCL2L2	0.1429559054407621	HCC44	perturbation_control	spearman	median
BCL2L2-4	BCL2L2	0.6400685509765702	HCC44	perturbation_control	spearman	median
BRAF-2	BRAF		HCC44	perturbation_control	spearman	median
BRAF1-1	BRAF1		HCC44	perturbation_control	spearman	median
BRCA1-1	BRCA1	0.7382705545901298	HCC44	perturbation_control	spearman	median
BRCA1-2	BRCA1	0.7668019277422862	HCC44	perturbation_control	spearman	median
BRD4-1	BRD4	2.3974359836104506	HCC44	perturbation_control	spearman	median
BRD4-2	BRD4	1.7797115595579593	HCC44	perturbation_control	spearman	median
CCND1-1	CCND1	0.8030116337964168	HCC44	perturbation_control	spearman	median
CCND1-2	CCND1	0.6933128039701322	HCC44	perturbation_control	spearman	median
CCNE1-1	CCNE1	2.001962901849317	HCC44	perturbation_control	spearman	median
CCNE1-2	CCNE1	1.8198093130429358	HCC44	perturbation_control	spearman	median
CDK2-1	CDK2	2.359825289219156	HCC44	perturbation_control	spearman	median
CDK2-2	CDK2	2.1229559203459534	HCC44	perturbation_control	spearman	median
CDK4-1	CDK4	1.217470684814748	HCC44	perturbation_control	spearman	median
CDK4-2	CDK4	1.1329493801375188	HCC44	perturbation_control	spearman	median
CDK4-3	CDK4	0.8833165750937315	HCC44	perturbation_control	spearman	median
CHEK2-1	CHEK2	0.34055819117638053	HCC44	perturbation_control	spearman	median
CHEK2-2	CHEK2	0.4459007711725138	HCC44	perturbation_control	spearman	median
COX5B-1	COX5B	0.7640794414224608	HCC44	perturbation_control	spearman	median
COX5B-2	COX5B	0.7713029992542801	HCC44	perturbation_control	spearman	median
CSNK1A1-1	CSNK1A1	1.9843104935923845	HCC44	perturbation_control	spearman	median
CSNK1A1-2	CSNK1A1	1.6254476760885543	HCC44	perturbation_control	spearman	median
CTNNB1-1	CTNNB1	-0.03500095938627407	HCC44	perturbation_control	spearman	median
CTNNB1-2	CTNNB1	-0.05208174814310485	HCC44	perturbation_control	spearman	median
Chr2-1	Chr2	0.6688446203467786	HCC44	perturbation_control	spearman	median
Chr2-2	Chr2	0.44171279037368405	HCC44	perturbation_control	spearman	median
Chr2-3	Chr2	0.8831142536041154	HCC44	perturbation_control	spearman	median
Chr2-4	Chr2	0.17481488465678718	HCC44	perturbation_control	spearman	median
Chr2-5	Chr2	0.6726538170047374	HCC44	perturbation_control	spearman	median
Chr2-6	Chr2	0.8701916540528822	HCC44	perturbation_control	spearman	median
DOT1L-1	DOT1L	0.9413024256506156	HCC44	perturbation_control	spearman	median
DOT1L-2	DOT1L	0.9570921792534759	HCC44	perturbation_control	spearman	median
EGFR-1	EGFR	0.14921350383551707	HCC44	perturbation_control	spearman	median
EGFR-2	EGFR	0.17415047168848313	HCC44	perturbation_control	spearman	median
EGLN1-8	EGLN1	1.6962544956404992	HCC44	perturbation_control	spearman	median
EGLN1-9	EGLN1	1.5763008621110846	HCC44	perturbation_control	spearman	median
EMPTY	EMPTY		HCC44	perturbation_control	spearman	median
ERBB2-1	ERBB2	0.3949569277385674	HCC44	perturbation_control	spearman	median
ERBB2-2	ERBB2	0.3726314389994454	HCC44	perturbation_control	spearman	median
ERBB3-1	ERBB3	0.7852241465029076	HCC44	perturbation_control	spearman	median
ERBB3-2	ERBB3	0.690684981581424	HCC44	perturbation_control	spearman	median
EZH2-1	EZH2	0.8485179412080248	HCC44	perturbation_control	spearman	median
EZH2-2	EZH2	0.9575817579375855	HCC44	perturbation_control	spearman	median
GLS-1	GLS	1.0831566911430133	HCC44	perturbation_control	spearman	median
GLS-2	GLS	0.9074345977501278	HCC44	perturbation_control	spearman	median
GPX4-1	GPX4	1.039528447423556	HCC44	perturbation_control	spearman	median
GPX4-2	GPX4	0.8881539646823724	HCC44	perturbation_control	spearman	median
HIF1a-1	HIF1a	0.3557882624429195	HCC44	perturbation_control	spearman	median
HIF1a-2	HIF1a	0.343884841148964	HCC44	perturbation_control	spearman	median
ITGAV-1	ITGAV	3.3717784009800544	HCC44	perturbation_control	spearman	median
ITGAV-2	ITGAV	3.537184909077056	HCC44	perturbation_control	spearman	median
JAK3-1	JAK3	0.18180230574403916	HCC44	perturbation_control	spearman	median
JAK3-2	JAK3	0.1652920949515229	HCC44	perturbation_control	spearman	median
KIF11-1	KIF11	2.3106420434926696	HCC44	perturbation_control	spearman	median
KIF11-2	KIF11	2.2235508922423124	HCC44	perturbation_control	spearman	median
KRAS-1	KRAS	1.6669026158424485	HCC44	perturbation_control	spearman	median
KRAS-2A	KRAS	1.5887322387063203	HCC44	perturbation_control	spearman	median
KRAS-2B	KRAS	0.9562196426746539	HCC44	perturbation_control	spearman	median
LacZ-2	LacZ	0.3773662616133018	HCC44	perturbation_control	spearman	median
LacZ-3	LacZ	0.35027566470164984	HCC44	perturbation_control	spearman	median
Luc-1	Luc	0.6494316364323726	HCC44	perturbation_control	spearman	median
Luc-2	Luc	0.6425908821575914	HCC44	perturbation_control	spearman	median
MAPK1-1	MAPK1	0.7998226237575369	HCC44	perturbation_control	spearman	median
MAPK1-2	MAPK1	0.7417392838041765	HCC44	perturbation_control	spearman	median
MCL1-2	MCL1	0.44526106234451274	HCC44	perturbation_control	spearman	median
MCL1-5	MCL1	0.4952943055018516	HCC44	perturbation_control	spearman	median
MTOR-1	MTOR	1.7831583184231035	HCC44	perturbation_control	spearman	median
MTOR-2	MTOR	1.4774079176198125	HCC44	perturbation_control	spearman	median
MYC-1	MYC	2.4185974938402017	HCC44	perturbation_control	spearman	median
MYC-2	MYC	2.4001875944909568	HCC44	perturbation_control	spearman	median
ORC4-1	ORC4	0.37308455211147284	HCC44	perturbation_control	spearman	median
ORC4-2	ORC4	0.3939832083714767	HCC44	perturbation_control	spearman	median
PIK3CA-1	PIK3CA	0.8474727119169632	HCC44	perturbation_control	spearman	median
PIK3CA-2	PIK3CA	0.8565880504271528	HCC44	perturbation_control	spearman	median
POLR2D-1	POLR2D	2.5371029729609162	HCC44	perturbation_control	spearman	median
POLR2D-2	POLR2D	2.4126091268947336	HCC44	perturbation_control	spearman	median
PPIB-1	PPIB	0.06406070338553742	HCC44	perturbation_control	spearman	median
PPIB-2	PPIB	0.06998257932739724	HCC44	perturbation_control	spearman	median
PRDX1-1	PRDX1	0.09230604594135626	HCC44	perturbation_control	spearman	median
PRDX1-2	PRDX1	0.09182180982050214	HCC44	perturbation_control	spearman	median
PSMA1-1	PSMA1	2.230069062277423	HCC44	perturbation_control	spearman	median
PSMA1-2	PSMA1	2.2978608661071944	HCC44	perturbation_control	spearman	median
PTK2-1	PTK2	2.4219288318838164	HCC44	perturbation_control	spearman	median
PTK2-2	PTK2	2.5630466665867715	HCC44	perturbation_control	spearman	median
RAC1-1	RAC1	1.157619274432867	HCC44	perturbation_control	spearman	median
RAC1-2	RAC1	0.9824391605867824	HCC44	perturbation_control	spearman	median
RAF1-1	RAF1	0.9376789276730426	HCC44	perturbation_control	spearman	median
RAF1-2	RAF1	1.074101995922157	HCC44	perturbation_control	spearman	median
RHOA-1	RHOA	2.342967392204743	HCC44	perturbation_control	spearman	median
RHOA-2	RHOA	2.4783736730183117	HCC44	perturbation_control	spearman	median
SDHB-1	SDHB	1.7182221241547149	HCC44	perturbation_control	spearman	median
SDHB-2	SDHB	1.3248961264763288	HCC44	perturbation_control	spearman	median
SLC2A1-1	SLC2A1		HCC44	perturbation_control	spearman	median
SLC2A2-2	SLC2A2		HCC44	perturbation_control	spearman	median
SMARCB1-1	SMARCB1	0.7565304419518841	HCC44	perturbation_control	spearman	median
SMARCB1-2	SMARCB1	0.8330931700895339	HCC44	perturbation_control	spearman	median
STAT3-1	STAT3	0.8181019015425264	HCC44	perturbation_control	spearman	median
STAT3-2	STAT3	0.719489559355049	HCC44	perturbation_control	spearman	median
SUZ12-1	SUZ12	1.7025964290827607	HCC44	perturbation_control	spearman	median
SUZ12-2	SUZ12	1.71114899070675	HCC44	perturbation_control	spearman	median
TXN-1	TXN	0.8586212109944322	HCC44	perturbation_control	spearman	median
TXN-2	TXN	0.733546165229952	HCC44	perturbation_control	spearman	median
XBP-1	XBP	1.294510576372459	HCC44	perturbation_control	spearman	median
XBP-2	XBP	1.414494660163779	HCC44	perturbation_control	spearman	median
YAP1-1	YAP1	0.6842641092663309	HCC44	perturbation_control	spearman	median
YAP1-2	YAP1	0.7826518643394496	HCC44	perturbation_control	spearman	median
AKT1-1	AKT1	0.2577272386135348	A549	cutting_control	pearson	mean
AKT1-2	AKT1	0.2711111754026766	A549	cutting_control	pearson	mean
ARID1B-1	ARID1B	0.4753620625687805	A549	cutting_control	pearson	mean
ARID1B-2	ARID1B	0.32320963213267423	A549	cutting_control	pearson	mean
ATF4-1	ATF4	1.563814217913183	A549	cutting_control	pearson	mean
ATF4-2	ATF4	1.4805442507363817	A549	cutting_control	pearson	mean
ATP50-1	ATP50	0.47750480849797444	A549	cutting_control	pearson	mean
ATP50-2	ATP50	0.12364069261065648	A549	cutting_control	pearson	mean
AURKB-2	AURKB		A549	cutting_control	pearson	mean
BCL2-1	BCL2	0.28234766427806374	A549	cutting_control	pearson	mean
BCL2-2	BCL2	0.31431687861152313	A549	cutting_control	pearson	mean
BCL2L2-1	BCL2L2	0.06600840354562885	A549	cutting_control	pearson	mean
BCL2L2-2	BCL2L2	-0.02363342347446891	A549	cutting_control	pearson	mean
BCL2L2-4	BCL2L2	-0.2126659812417654	A549	cutting_control	pearson	mean
BRAF-2	BRAF		A549	cutting_control	pearson	mean
BRAF1-1	BRAF1		A549	cutting_control	pearson	mean
BRCA1-1	BRCA1	0.5747460828684363	A549	cutting_control	pearson	mean
BRCA1-2	BRCA1	0.5520770244147956	A549	cutting_control	pearson	mean
BRD4-1	BRD4	0.8448548484141231	A549	cutting_control	pearson	mean
BRD4-2	BRD4	0.8965990443983295	A549	cutting_control	pearson	mean
CCND1-1	CCND1	1.0606394055696016	A549	cutting_control	pearson	mean
CCND1-2	CCND1	0.8901685658436104	A549	cutting_control	pearson	mean
CCNE1-1	CCNE1	1.442742745974041	A549	cutting_control	pearson	mean
CCNE1-2	CCNE1	1.39423099645568	A549	cutting_control	pearson	mean
CDK2-1	CDK2	1.3554896908552807	A549	cutting_control	pearson	mean
CDK2-2	CDK2	1.2342935955330487	A549	cutting_control	pearson	mean
CDK4-1	CDK4	1.1132462138669037	A549	cutting_control	pearson	mean
CDK4-2	CDK4	1.1217570854006018	A549	cutting_control	pearson	mean
CDK4-3	CDK4	0.95271110132633	A549	cutting_control	pearson	mean
CHEK2-1	CHEK2	0.1396202877208432	A549	cutting_control	pearson	mean
CHEK2-2	CHEK2	0.23594175095681413	A549	cutting_control	pearson	mean
COX5B-1	COX5B	0.6742976053450579	A549	cutting_control	pearson	mean
COX5B-2	COX5B	0.3917006067443412	A549	cutting_control	pearson	mean
CSNK1A1-1	CSNK1A1	2.075395020571222	A549	cutting_control	pearson	mean
CSNK1A1-2	CSNK1A1	1.6979228173180492	A549	cutting_control	pearson	mean
CTNNB1-1	CTNNB1	-0.5167308834653466	A549	cutting_control	pearson	mean
CTNNB1-2	CTNNB1	-0.15213850808981821	A549	cutting_control	pearson	mean
Chr2-1	Chr2	0.15569062125969926	A549	cutting_control	pearson	mean
Chr2-2	Chr2	0.11758502064013292	A549	cutting_control	pearson	mean
Chr2-3	Chr2	0.1619185683755546	A549	cutting_control	pearson	mean
Chr2-4	Chr2	0.06201482721801491	A549	cutting_control	pearson	mean
Chr2-5	Chr2	0.15633376173682453	A549	cutting_control	pearson	mean
Chr2-6	Chr2	0.16961372607033043	A549	cutting_control	pearson	mean
DOT1L-1	DOT1L	0.1279331880203173	A549	cutting_control	pearson	mean
DOT1L-2	DOT1L	0.3492658239914153	A549	cutting_control	pearson	mean
EGFR-1	EGFR	0.5443517095318039	A549	cutting_control	pearson	mean
EGFR-2	EGFR	0.23058778397733537	A549	cutting_control	pearson	mean
EGLN1-8	EGLN1	0.4416071877482403	A549	cutting_control	pearson	mean
EGLN1-9	EGLN1	0.09815149503278604	A549	cutting_control	pearson	mean
EMPTY	EMPTY		A549	cutting_control	pearson	mean
ERBB2-1	ERBB2	1.140727883748064	A549	cutting_control	pearson	mean
ERBB2-2	ERBB2	1.2267027446026377	A549	cutting_control	pearson	mean
ERBB3-1	ERBB3	0.7277219100274875	A549	cutting_control	pearson	mean
ERBB3-2	ERBB3	0.6367044051671935	A549	cutting_control	pearson	mean
EZH2-1	EZH2	0.8343580421794378	A549	cutting_control	pearson	mean
EZH2-2	EZH2	0.8271286327150766	A549	cutting_control	pearson	mean
GLS-1	GLS	0.5506672053442556	A549	cutting_control	pearson	mean
GLS-2	GLS	0.07020988431867209	A549	cutting_control	pearson	mean
GPX4-1	GPX4	0.2798741617184778	A549	cutting_control	pearson	mean
GPX4-2	GPX4	0.5057532445732686	A549	cutting_control	pearson	mean
HIF1a-1	HIF1a	0.2495921698022095	A549	cutting_control	pearson	mean
HIF1a-2	HIF1a	0.3369126511331332	A549	cutting_control	pearson	mean
ITGAV-1	ITGAV	2.7876280671667173	A549	cutting_control	pearson	mean
ITGAV-2	ITGAV	2.872148028924079	A549	cutting_control	pearson	mean
JAK3-1	JAK3	-0.2613853468324768	A549	cutting_control	pearson	mean
JAK3-2	JAK3	0.15451579087829787	A549	cutting_control	pearson	mean
KIF11-1	KIF11	1.4664195093221961	A549	cutting_control	pearson	mean
KIF11-2	KIF11	1.5017376362432218	A549	cutting_control	pearson	mean
KRAS-1	KRAS	0.6524987785550718	A549	cutting_control	pearson	mean
KRAS-2A	KRAS	0.5604887508424876	A549	cutting_control	pearson	mean
KRAS-2B	KRAS	0.17548854948006715	A549	cutting_control	pearson	mean
LacZ-2	LacZ	0.36728250326202094	A549	cutting_control	pearson	mean
LacZ-3	LacZ	0.47160909321796407	A549	cutting_control	pearson	mean
Luc-1	Luc	0.6797938801884944	A549	cutting_control	pearson	mean
Luc-2	Luc	0.7538964224961965	A549	cutting_control	pearson	mean
MAPK1-1	MAPK1	0.48411130949982994	A549	cutting_control	pearson	mean
MAPK1-2	MAPK1	0.08219707259739867	A549	cutting_control	pearson	mean
MCL1-2	MCL1	-0.1207224306975723	A549	cutting_control	pearson	mean
MCL1-5	MCL1	0.06959703409929563	A549	cutting_control	pearson	mean
MTOR-1	MTOR	1.124431524007206	A549	cutting_control	pearson	mean
MTOR-2	MTOR	0.9919835967085054	A549	cutting_control	pearson	mean
