DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000330,EFM19,EFM19_BREAST,,906851.0,Female,DSMZ,2.0,-2.8790897518819327,,RPMI + 10% FBS,68,CVCL_0253,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,50,SIDM01056,1786.0,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal
ACH-000331,ISTMES2,ISTMES2_PLEURA,IST-MES-2,,Male,ICLC,2.0,-4.141258849255233,Adherent,DMEM + 10% FBS + 2mM L-glutamine + NEAA,63.8,CVCL_1312,pleural_effusion,,Lung Cancer,Mesothelioma,71,,,,lung,mesothelioma,,
ACH-000332,YAPC,YAPC_PANCREAS,,909904.0,Male,DSMZ,4.0,-4.128830922226409,Adherent,RPMI + 10% FBS,93,CVCL_1794,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",43,SIDM00411,895.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000333,JHOM2B,JHOM2B_OVARY,,,Female,RIKEN,,,,,,CVCL_4645,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",,,,,ovary,ovary_adenocarcinoma,mucinous,
ACH-000334,DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906832.0,Male,ATCC,2.0,-2.463465040548152,Suspension,RPMI + 10% FBS,58.8,CVCL_1168,ascites,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),45,SIDM00886,1185.0,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000335,MSTO211H,MSTO211H_PLEURA,,908152.0,Male,ATCC,2.0,-2.2993889832528187,Adherent,RPMI + 10% FBS,80.5,CVCL_1430,pleural_effusion,Metastasis,Lung Cancer,Mesothelioma,62,SIDM00640,209.0,,lung,mesothelioma,,
ACH-000336,OCIAML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1290455.0,Male,DSMZ,2.0,-1.9891606557905075,,AlphaMEM + 20% FBS,51.6,CVCL_1844,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",57,SIDM00462,355.0,,blood,AML,M4,
ACH-000337,NCIH3122,NCIH3122_LUNG,,1240190.0,Unknown,Academic lab,2.0,-2.7658409048042403,not found,not found,81.5,CVCL_5160,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00137,918.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000338,SR786,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SR,905965.0,Male,DSMZ,0.0,-1.133971327483283,,,,,pleural_effusion,Primary,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",11,SIDM00096,794.0,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,
ACH-000339,HCC461,HCC461_LUNG,,,Male,Academic lab,3.0,-4.840238226631301,not found,not found,93.1,CVCL_5135,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000340,HS870T,HS870T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0966,fibroblast,,Fibroblast,Bone,,,,,fibroblast,fibroblast_bone,,
ACH-000341,SKNFI,SKNFI_AUTONOMIC_GANGLIA,,688087.0,Male,ATCC,2.0,-2.1932797755597715,Adherent,DMEM + 10% FBS + NEAA,31,CVCL_1702,bone_marrow,Metastasis,Neuroblastoma,,11,SIDM01099,227.0,,peripheral_nervous_system,neuroblastoma,,
ACH-000342,CL14,CL14_LARGE_INTESTINE,,,Male,DSMZ,,,,,,CVCL_1979,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,,,,colorectal,colorectal_adenocarcinoma,,
ACH-000343,NCIH522,NCIH522_LUNG,,905944.0,Male,ATCC,1.0,-3.5807076848602613,,RPMI + 10% FBS,73.3,CVCL_1567,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60,SIDM00116,1224.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000344,SNU668,SNU668_STOMACH,,,Male,KCLB,1.0,-3.3451873806650787,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,40.1,CVCL_5081,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,63,,,,gastric,gastric_adenocarcinoma,diffuse_gastric,
ACH-000345,KPNRTBM1,KPNRTBM1_AUTONOMIC_GANGLIA,,924189.0,Female,HSRRB,,,,,,CVCL_1339,bone_marrow,Metastasis,Neuroblastoma,,,SIDM00557,852.0,,peripheral_nervous_system,neuroblastoma,,MYCN_amp
ACH-000346,JVM3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907270.0,Male,DSMZ,,,,,,CVCL_1320,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Lymphoblastic Leukemia (CLL), B-cell",73,SIDM01012,1632.0,,blood,CLL,b_cell,
ACH-000347,QGP1,QGP1_PANCREAS,,1298534.0,Male,HSRRB,0.0,-0.5903272923333848,Adherent,RPMI + 10% FBS,50.2,CVCL_3143,pancreas,Primary,Pancreatic Cancer,Somatostatinoma,61,SIDM00360,469.0,,pancreas,endocrine,somatostatinoma,
ACH-000348,RPMI7951,RPMI7951_SKIN,,910903.0,Female,ATCC,2.0,-6.135596350492017,Adherent,RPMI + 10% FBS,81.2,CVCL_1666,lymph_node,Metastasis,Skin Cancer,Melanoma,18,SIDM01087,1909.0,,skin,melanoma,,
ACH-000349,HCC1500,HCC1500_BREAST,,1303900.0,Female,ATCC,,,,,,CVCL_1254,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,32,SIDM00879,653.0,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal
ACH-000350,COLO678,COLO678_LARGE_INTESTINE,,910689.0,Male,DSMZ,3.0,-2.078276004035026,Adherent,RPMI + 10% FBS,89.3,CVCL_1129,lymph_node,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,69,SIDM00957,2148.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000351,MKN1,MKN1_STOMACH,,908138.0,Male,HSRRB,,,,,,CVCL_1415,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,72,SIDM00271,1647.0,,gastric,gastric_adenocarcinoma,,
ACH-000352,HCC1428,HCC1428_BREAST,,1290905.0,Female,ATCC,2.0,-4.711859729108955,Adherent,RPMI + 10% FBS,92.5,CVCL_1252,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,49,SIDM00881,1567.0,,breast,breast_carcinoma,ERpos_HER2neg,luminal
ACH-000353,TE15,TE15_OESOPHAGUS,,753614.0,Female,RIKEN,0.0,-0.5780869784876205,,,,CVCL_1763,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00249,575.0,,esophagus,esophagus_squamous,,
ACH-000354,CAPAN1,CAPAN1_PANCREAS,,753624.0,Male,ATCC,,,,,,CVCL_0237,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",40,SIDM00934,641.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000355,NCIH82,NCIH82_LUNG,,688031.0,Male,ATCC,2.0,-2.8106343996559446,Adherent,RPMI + 10% FBS,49.2,CVCL_1591,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),41,SIDM01131,1545.0,,lung,SCLC,,
ACH-000356,MKN45,MKN45_STOMACH,,925340.0,Female,HSRRB,2.0,-2.3299724661736363,,RPMI + 10% FBS,76.1,CVCL_0434,liver,Metastasis,Gastric Cancer,Adenocarcinoma,62,SIDM00247,1542.0,,gastric,gastric_adenocarcinoma,diffuse_gastric,
ACH-000357,JEKO1,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327765.0,Female,DSMZ,0.0,-0.8178954994575806,,,,CVCL_1865,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",78,SIDM01038,2118.0,,lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,
ACH-000358,NCIH69,NCIH69_LUNG,,688027.0,Male,ATCC,,,,,,CVCL_1579,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55,SIDM01121,1016.0,,lung,SCLC,,
ACH-000359,MG63,MG63_BONE,,908131.0,Male,ATCC,,,,,,CVCL_0426,bone,Primary,Bone Cancer,Osteosarcoma,14,SIDM00525,2170.0,,bone,osteosarcoma,,
ACH-000360,NCIH508,NCIH508_LARGE_INTESTINE,,908442.0,Male,ATCC,0.0,-0.32587200672978883,,RPMI + 10% FBS,,CVCL_1564,abdomen,Metastasis,Colon/Colorectal Cancer,Caecum Adenocarcinoma,55,SIDM00777,35.0,,colorectal,caecum_adenocarcinoma,,
ACH-000361,SKHEP1,SKHEP1_LIVER,,909719.0,Male,ATCC,2.0,-2.5266054615579647,Adherent,EMEM + 10% FBS,80.9,CVCL_0525,ascites,Metastasis,Liver Cancer,Hepatocellular Carcinoma,52,SIDM01110,874.0,,liver,hepatocellular_carcinoma,,
ACH-000362,MOLM13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330947.0,Male,DSMZ,3.0,-3.152902446658332,Suspension,RPMI + 20% FBS,,CVCL_2119,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),20,SIDM00437,747.0,,blood,AML,,
ACH-000363,SKMM2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,753612.0,Male,DSMZ,2.0,-4.718427378598607,,RPMI + 10% FBS,95.3,CVCL_1699,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,54,SIDM00391,1003.0,,plasma_cell,multiple_myeloma,,
ACH-000364,U2OS,U2OS_BONE,"U2-OS, U-2 OS",909776.0,Female,ATCC,2.0,-3.887180123330552,Adherent,McCoy's 5A + 10% FBS,47.4,CVCL_0042,bone,Primary,Bone Cancer,Osteosarcoma,15,SIDM01191,1145.0,,bone,osteosarcoma,,
ACH-000365,SUDHL4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331035.0,Male,DSMZ,2.0,-3.5927024472675164,Suspension,RPMI + 20% FBS,73.1,CVCL_0539,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),38,SIDM00405,1450.0,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000366,SKNDZ,SKNDZ_AUTONOMIC_GANGLIA,,688086.0,Female,ATCC,2.0,-4.252933964341333,Adherent,DMEM + 10% FBS + NEAA,78.7,CVCL_1701,bone_marrow,Metastasis,Neuroblastoma,,2,SIDM01100,867.0,,peripheral_nervous_system,neuroblastoma,,MYCN_amp
ACH-000367,NCIH226,NCIH226_LUNG,,905941.0,Male,ATCC,,,,,,CVCL_1544,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00139,1221.0,,lung,NSCLC,NSCLC_squamous,
ACH-000368,SNU1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,2.0,-3.560200492485061,,RPMI + 10% FBS,72.6,CVCL_5010,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,,,,central_nervous_system,glioma,glioblastoma,
ACH-000369,MOLM16,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330948.0,Female,DSMZ,,,,,,CVCL_2120,haematopoietic_and_lymphoid_tissue,,Leukemia,Acute Myelogenous Leukemia (AML),77,SIDM00435,1229.0,,blood,AML,,
ACH-000370,SNU626,SNU626_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,1.0,-1.6035343854798898,,RPMI + 10% FBS,54.4,CVCL_5080,central_nervous_system,,Brain Cancer,Glioblastoma,65,,,,central_nervous_system,glioma,glioblastoma,
ACH-000371,RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910861.0,Male,ATCC,2.0,-3.896033282322192,Suspension,RPMI + 20% FBS,73,CVCL_1660,ascites,,Lymphoma,"B-cell, Non-Hodgkins",52,SIDM01089,1273.0,,lymphocyte,non_hodgkin_lymphoma,b_cell,
ACH-000372,P12ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909251.0,Male,DSMZ,,,,,,CVCL_1630,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",7,SIDM00463,2153.0,,blood,ALL,t_cell,
ACH-000373,SKM1,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909722.0,Male,HSRRB,0.0,-0.33741984843107203,Suspension,RPMI + 20% FBS,,CVCL_0098,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),76,SIDM00380,304.0,,blood,AML,,
ACH-000374,HCC1143,HCC1143_BREAST,,749710.0,Female,ATCC,2.0,-3.4899515320077885,Adherent,RPMI + 10% FBS,84,CVCL_1245,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,52,SIDM00866,1316.0,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A
ACH-000375,G402,G402_SOFT_TISSUE,,907298.0,Female,ATCC,2.0,-3.2810179994897983,,McCoy's 5A + 10% FBS,81.1,CVCL_1221,kidney,Primary,Kidney Cancer,Renal Leiomyoblastoma,0.75,SIDM00855,1089.0,,soft_tissue,malignant_rhabdoid_tumor,renal_leiomyoblastoma,
ACH-000376,SF295,SF295_CENTRAL_NERVOUS_SYSTEM,,905985.0,Female,NCI/DCTD,2.0,-5.904092830330859,Adherent,RPMI + 10% FBS,79.1,CVCL_1690,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67,SIDM00084,1164.0,,central_nervous_system,glioma,glioblastoma,
ACH-000377,SNU478,SNU478_BILIARY_TRACT,,,Unknown,KCLB,2.0,-3.5025779225129408,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,80.4,CVCL_5065,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,SIDM00160,,,bile_duct,cholangiocarcinoma,extrahepatic,
ACH-000378,NCIH647,NCIH647_LUNG,,1240191.0,Male,ATCC,2.0,-3.102154264897435,Adherent,RPMI + 10% FBS,89,CVCL_1574,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",56,SIDM01125,955.0,,lung,NSCLC,NSCLC_adenosquamous,
ACH-000379,NCIH1781,NCIH1781_LUNG,,1298350.0,Female,ATCC,,,,,,CVCL_1494,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",66,SIDM00754,2228.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000380,KMS12BM,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907281.0,Female,DSMZ,0.0,-0.1956101309058796,Suspension,RPMI + 20% FBS,97.2,CVCL_1334,bone_marrow,Primary,Myeloma,Multiple Myeloma,64,SIDM01020,2087.0,,plasma_cell,multiple_myeloma,,
ACH-000381,T84,T84_LARGE_INTESTINE,,909761.0,Male,ATCC,3.0,-3.6432114198143046,Adherent,DMEM:F12(1:1) + 5% FBS + 2mM Glutamine,80.3,CVCL_0555,lung,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM00782,997.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000382,CORL24,CORL24_LUNG,,,Male,ECACC,,,,,,CVCL_2409,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),71,,,,lung,SCLC,,
ACH-000383,OE33,OE33_OESOPHAGUS,,910549.0,Female,HPACC,2.0,-3.507422612991512,Adherent,RPMI + 10% FBS,89.6,CVCL_0471,oesophagus,Primary,Esophageal Cancer,Adenocarcinoma,73,SIDM00477,1554.0,,esophagus,esophagus_adenocarcinoma,,
ACH-000384,SW780,SW780_URINARY_TRACT,,687457.0,Female,ATCC,,,,,,CVCL_1728,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,80,SIDM01160,2039.0,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000385,SKRC20,SKRC20_KIDNEY,,,Unknown,Academic lab,2.0,-3.1305905861015195,not found,not found,82.3,CVCL_V605,kidney,,Kidney Cancer,Renal Cell Carcinoma,,,,,kidney,renal_cell_carcinoma,,
ACH-000386,KG1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907278.0,Male,ATCC,,,,,,CVCL_0374,bone_marrow,Primary,Leukemia,Acute Myelogenous Leukemia (AML),59,SIDM00785,193.0,,blood,AML,,
ACH-000387,TF1,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,3.0,-4.468284076015278,Suspension,RPMI + 10% FBS + 2ng/ml GM-CSF,,CVCL_0559,bone_marrow,,Leukemia,Acute Myelogenous Leukemia (AML),35,,,,blood,AML,,
ACH-000388,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1876,lymph_node,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),73,,,,lymphocyte,non_hodgkin_lymphoma,DLBCL,
ACH-000389,H4,H4_CENTRAL_NERVOUS_SYSTEM,,907042.0,Male,ATCC,2.0,-2.4427397311317844,Adherent,RPMI + 10% FBS,72.9,CVCL_1239,central_nervous_system,Primary,Brain Cancer,Glioma,37,SIDM00852,1244.0,,central_nervous_system,glioma,,
ACH-000390,LUDLU1,LUDLU1_LUNG,,,Male,ECACC,2.0,-3.9819748283523873,Adherent,RPMI + 10% FBS,86.8,CVCL_2582,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",72,,,,lung,NSCLC,NSCLC_squamous,
ACH-000391,MHHES1,MHHES1_BONE,,908134.0,Male,DSMZ,2.0,-2.9114589996110043,Adherent,RPMI + 10% FBS,61.4,CVCL_1411,ascites,Metastasis,Bone Cancer,Ewings Sarcoma,12,SIDM00386,339.0,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000392,CALU3,CALU3_LUNG,,687777.0,Male,ATCC,,,,,,CVCL_0609,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",25,SIDM00922,219.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000393,HLF,HLF_LIVER,,,Male,HSRRB,2.0,-3.813428824320129,Adherent,EMEM + 10% FBS,,CVCL_2947,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,69,SIDM00065,,,liver,hepatocellular_carcinoma,,
ACH-000394,NCIH2081,NCIH2081_LUNG,,908480.0,Female,ATCC,,,,,,CVCL_1522,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),59,SIDM00710,914.0,,lung,SCLC,,
ACH-000395,NCIH520,NCIH520_LUNG,,908443.0,Male,ATCC,3.0,-2.777345854367677,Adherent,RPMI + 10% FBS,86.6,CVCL_1566,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM01130,2200.0,,lung,NSCLC,NSCLC_squamous,
ACH-000396,J82,J82_URINARY_TRACT,,753566.0,Male,ATCC,0.0,-1.4486608869556317,,,,CVCL_0359,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,58,SIDM00693,1232.0,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000397,TEN,TEN_ENDOMETRIUM,,,Female,RIKEN,2.0,-4.405148412764743,,MEM + 10% FBS,81.2,CVCL_E063,endometrium,Primary,Endometrial/Uterine Cancer,Clear Cell Carcinoma,74,,,,uterus,clear_cell_carcinoma,,
ACH-000398,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,,,,,,CVCL_1885,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins",57,,,,lymphocyte,non_hodgkin_lymphoma,b_cell,
ACH-000399,NCIH2196,NCIH2196_LUNG,,908481.0,Male,ATCC,,,,,,CVCL_1539,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67,SIDM00731,916.0,,lung,SCLC,,
ACH-000400,SKCO1,SKCO1_LARGE_INTESTINE,,909718.0,Male,ATCC,,,,,,CVCL_0626,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,65,SIDM01096,40.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000401,COLO800,COLO800_SKIN,,906813.0,Male,ATCC,2.0,-3.5626172792432116,,RPMI + 10% FBS,76.8,CVCL_1135,skin,Metastasis,Skin Cancer,Melanoma,14,SIDM00515,21.0,,skin,melanoma,,
ACH-000402,BL70,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,1.0,-2.1778516102781658,Adherent,RPMI + 10% heat inactivated FBS + 1mM Sodium pyruvate + 50uM 2-Mercaptoethanol,37.3,CVCL_1088,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",16,SIDM00074,,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,
ACH-000403,NCIH747,NCIH747_LARGE_INTESTINE,,908457.0,Male,ATCC,3.0,-3.4512135220419085,Adherent,RPMI + 10% FBS,84.6,CVCL_1587,large_intestine,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,69,SIDM00778,573.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000404,K029AX,K029AX_SKIN,,,Unknown,Academic lab,1.0,-2.8617845835460343,,RPMI + 10% FBS,44.8,CVCL_8784,skin,Primary,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000405,MEC1,MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2.0,-4.4124391549902855,Adherent,IMDM + 10% FBS,57.5,CVCL_1870,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Lymphoblastic Leukemia (CLL), B-cell",61,SIDM00001,,,blood,CLL,b_cell,
ACH-000406,U937,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,3.0,-6.267163631805077,Suspension,RPMI + 10% FBS,76.1,CVCL_0007,pleural_effusion,Metastasis,Leukemia,Acute Myelogenous Leukemia (AML),37,SIDM01195,,,blood,AML,,
ACH-000407,SNU685,SNU685_ENDOMETRIUM,,,Female,KCLB,2.0,-4.175125052007108,,RPMI + 10% FBS,84.1,CVCL_5083,endometrium,Primary,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),70,SIDM00165,,,uterus,MMMT,,
ACH-000408,TE5,TE5_OESOPHAGUS,,735784.0,Female,RIKEN,2.0,-2.51630720686847,,RPMI + 10% FBS,64.1,CVCL_1764,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,73,SIDM00347,576.0,,esophagus,esophagus_squamous,,
ACH-000409,OVSAHO,OVSAHO_OVARY,,,Female,HSRRB,,,,,,CVCL_3114,abdomen,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",56,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000410,SAOS2,SAOS2_BONE,,909707.0,Female,ATCC,2.0,-5.258975000928327,Adherent,McCoy's 5A + 15% FBS,60,CVCL_0548,bone,Primary,Bone Cancer,Osteosarcoma,11,SIDM01084,399.0,,bone,osteosarcoma,,
ACH-000411,769P,769P_KIDNEY,,910922.0,Female,ATCC,2.0,-3.2557886032317995,Adherent,RPMI + 10% FBS,83.3,CVCL_1050,kidney,Primary,Kidney Cancer,"Renal Carcinoma, clear cell",63,SIDM00803,1186.0,,kidney,renal_cell_carcinoma,clear_cell,
ACH-000412,SNU1197,SNU1197_LARGE_INTESTINE,,,Male,KCLB,,,,,,CVCL_5016,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,70,SIDM00171,,,colorectal,colorectal_adenocarcinoma,,
ACH-000413,HS739T,HS739T_FIBROBLAST,,,Female,,,,,,,CVCL_0882,fibroblast,,Fibroblast,Breast,52,,,,fibroblast,fibroblast_breast,,
ACH-000414,NCIH1944,NCIH1944_LUNG,,1240185.0,Female,ATCC,4.0,-3.587188090289846,Adherent,RPMI + 10% FBS,62.5,CVCL_1508,soft_tissue,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",62,SIDM00762,183.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000415,BICR6,BICR6_UPPER_AERODIGESTIVE_TRACT,,,Male,ECACC,2.0,-3.895380824078357,Adherent,DMEM + 10% FBS + 2mM Glutamine + 0.4ug/ml Hydrocortisone,89.4,CVCL_2314,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
ACH-000416,NCIH838,NCIH838_LUNG,,910399.0,Male,ATCC,2.0,-5.418705962786492,Adherent,RPMI + 10% FBS,84.8,CVCL_1594,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",59,SIDM01150,484.0,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000417,PANC0813,PANC0813_PANCREAS,,925347.0,Male,ATCC,2.0,-4.228760831330003,,,,CVCL_1638,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",85,SIDM01136,635.0,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000418,SW1353,SW1353_BONE,,,Female,ATCC,,,,,,CVCL_0543,bone,Primary,Bone Cancer,Chondrosarcoma,72,,,,bone,chondrosarcoma,,
ACH-000419,KMS28BM,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,HSRRB,,,,,,CVCL_2994,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,77,,,,plasma_cell,multiple_myeloma,,
ACH-000420,SNU449,SNU449_LIVER,,909738.0,Male,ATCC,2.0,-3.592532124051767,Adherent,RPMI + 10% FBS,89.2,CVCL_0454,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,52,SIDM01194,129.0,,liver,hepatocellular_carcinoma,,
ACH-000421,SW837,SW837_LARGE_INTESTINE,,909755.0,Male,ATCC,3.0,-4.68741996378501,Adherent,RPMI + 10% FBS,90.1,CVCL_1729,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,53,SIDM00833,1141.0,,colorectal,colorectal_adenocarcinoma,,
ACH-000422,SNU475,SNU475_LIVER,,909739.0,Male,ATCC,2.0,-4.770536444797188,Adherent,RPMI + 10% FBS,88.2,CVCL_0497,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,43,SIDM01196,2059.0,,liver,hepatocellular_carcinoma,,
ACH-000423,SKMEL3,SKMEL3_SKIN,,909724.0,Female,ATCC,,,,,,CVCL_0550,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01105,1572.0,,skin,melanoma,,
